1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,classify
1285,470,645,417,236,408,392,0.7287,2.7340,0.50195,1.76695,1.04082,54.125,73.5,12.875,83.4,47.2,49,1
754,419,1227,330,313,383,417,0.3415,1.7995,1.62732,1.05431,0.91847,80.75,27.375,33.125,66,62.6,52.125,1
892,645,863,249,336,252,548,0.7474,1.3829,0.96749,0.74107,0.45985,69.375,61.5,50,49.8,67.2,68.5,1
1013,583,804,131,434,439,361,0.7251,1.7376,0.79368,0.30184,1.21607,52.25,51.75,25.125,26.2,86.8,45.125,1
604,738,1058,400,325,303,497,0.6975,0.8184,1.75166,1.23077,0.60966,70.5,38.25,62.75,80,65,62.125,1
1232,941,227,371,217,320,480,4.1454,1.3092,0.18425,1.70968,0.66667,16.125,87.75,33.75,74.2,43.4,60,1
1199,274,927,175,387,277,523,0.2956,4.3759,0.77314,0.45220,0.52964,78.75,62.875,13,35,77.4,65.375,1
690,476,1234,271,421,231,569,0.3857,1.4496,1.78841,0.64371,0.40598,88.875,34.625,48.375,54.2,84.2,71.125,1
911,694,795,276,334,239,561,0.8730,1.3127,0.87267,0.82635,0.42602,62,62.625,48.75,75.2,66.8,70.125,1
1158,395,847,298,141,325,475,0.4664,2.9316,0.73143,2.11348,0.68421,65.875,60,15.25,59.6,28.2,59.375,1
1151,435,814,253,215,169,631,0.5344,2.6460,0.70721,1.17674,0.26783,76.5,74.75,30.875,53,40.6,78.875,1
1006,420,974,140,203,492,308,0.4312,2.3952,0.96819,0.68966,1.59740,73,51.25,25.5,28,40.6,38.5,0
919,746,735,331,280,256,544,1.0150,1.2319,0.79978,1.18214,0.47059,48.75,56.875,42,66.2,56,68,0
1146,542,712,395,213,433,367,0.7612,2.1144,0.62129,1.85446,1.17984,62.375,73.375,30.125,62.2,59.4,45.875,0
1045,566,789,183,220,386,414,0.7174,1.8463,0.75502,0.83182,0.93237,55.125,56.5,25.875,36.6,44,51.75,0
1297,705,398,267,280,565,235,1.7714,1.8397,0.30686,0.95357,2.40426,42.125,92.375,30.25,53.4,56,29.375,0
1039,228,1133,141,274,205,595,0.2012,4.5570,1.09047,0.51460,0.34454,90.125,48.5,18.625,28.2,54.8,74.375,0
926,682,792,101,191,185,615,0.8611,1.3578,0.85529,0.52880,0.30081,60.75,61.75,46,20.2,38.2,76.875,0
1280,203,917,144,314,45,755,0.2214,6.3054,0.71641,0.45860,0.05960,79,64.375,4.375,28.8,62.8,94.375,0
1269,324,807,402,261,521,279,0.4015,3.9167,0.63593,1.54023,1.86738,65.75,64.875,6.25,80.4,52.2,34.875,0
1280,604,516,172,61,351,449,1.1705,2.1192,0.40313,2.81967,0.78174,44.875,80.375,20.375,34.4,12.2,56.125,0
777,1008,615,178,250,546,254,1.6390,0.7708,0.79151,0.71200,2.14961,44.25,67.375,70.25,35.6,50,31.75,0
1072,449,879,281,140,397,403,0.5108,2.3875,0.81996,2.00714,0.98511,70.375,60.5,26.5,56.2,28,50.375,0
1087,552,761,266,334,315,485,0.7254,1.9692,0.70009,0.79641,0.64948,53,57.875,22,53.2,66.8,60.625,0
1152,417,831,338,525,276,524,0.5018,2.7626,0.72135,0.64381,0.52672,53,49.125,5.125,67.6,85,65.5,0
1032,1122,246,267,115,650,150,4.5610,0.9198,0.23837,2.32174,4.33333,18.25,87.5,58.5,53.4,23,18.75,0
1295,859,246,177,241,626,174,3.4919,1.5076,0.18996,0.73444,3.59770,22.75,92,30.125,35.4,48.2,21.75,0
1023,453,924,99,273,268,532,0.4903,2.2583,0.90323,0.36264,0.50376,69.5,54,26.125,25.6,49.2,66.5,0
817,773,810,159,261,492,308,0.9543,1.0569,0.99143,0.60920,1.59740,46,44.75,42.625,31.8,52.2,38.5,0
786,1086,528,331,178,725,75,2.0568,0.7238,0.67176,1.85955,9.66667,24.75,58.75,60.5,66.2,35.6,9.375,0
923,708,769,212,201,385,415,0.9207,1.3037,0.83315,1.05473,0.92771,50.875,54.75,39.375,42.4,40.2,51.875,0
875,668,857,344,238,390,410,0.7795,1.3099,0.97943,1.44538,0.95122,51.75,44.625,35.25,68.8,47.6,51.25,0
954,726,720,346,242,388,412,1.0083,1.3140,0.75472,1.42975,0.94175,49.75,59.75,40.5,69.2,48.4,51.5,0
