1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,classify
1199,274,927,175,387,277,523,0.2956,4.3759,0.77314,0.45220,0.52964,78.75,62.88,13.00,35.00,77.40,65.38,0
1151,435,814,253,215,169,631,0.5344,2.6460,0.70721,1.17674,0.26783,76.50,74.75,30.88,53.00,40.60,78.88,0
1045,566,789,183,220,386,414,0.7174,1.8463,0.75502,0.83182,0.93237,55.13,56.50,25.88,36.60,44.00,51.75,0
777,1008,615,178,250,546,254,1.6390,0.7708,0.79151,0.71200,2.14961,44.25,67.38,70.25,35.60,50.00,31.75,0
875,668,857,344,238,390,410,0.7795,1.3099,0.97943,1.44538,0.95122,51.75,44.63,35.25,68.80,47.60,51.25,0
712,794,894,115,309,323,477,0.8881,0.8967,1.25562,0.37217,0.67715,55.88,44.13,55.13,23.00,61.80,59.63,0
1122,286,992,103,64,317,483,0.2883,3.9231,0.88414,1.60938,0.65631,87.88,63.88,23.63,20.60,12.80,60.38,0
1152,270,978,49,427,99,701,0.2761,4.2667,0.84896,0.11475,0.14123,77.38,55.13,11.13,9.80,85.40,87.63,0
1069,510,821,195,311,263,537,0.6212,2.0961,0.76801,0.62701,0.48976,58.88,56.25,22.63,39.00,62.20,67.13,0
1036,391,973,107,300,304,496,0.4018,2.6496,0.93919,0.35667,0.61290,66.25,44.63,15.13,21.40,60.00,62.00,0
492,1030,878,195,276,316,484,1.1731,0.4777,1.78455,0.70652,0.65289,40.63,30.88,69.38,39.00,55.20,60.50,0
673,827,900,226,384,404,396,0.9189,0.8138,1.33730,0.58854,1.02020,48.38,35.88,51.75,45.20,76.80,49.50,0
1303,360,737,158,322,269,531,0.4885,3.6194,0.56562,0.49068,0.50659,64.63,72.50,9.63,31.60,64.40,66.38,0
791,1038,571,387,250,610,190,1.8179,0.7620,0.72187,1.54800,3.21053,30.13,58.75,59.88,77.40,50.00,23.75,0
1036,594,770,207,375,663,137,0.7714,1.7441,0.74324,0.55200,4.83942,55.63,59.38,29.88,41.40,75.00,17.13,0
1397,605,398,297,241,350,450,1.5201,2.3091,0.28490,1.23237,0.77778,33.38,83.63,9.00,59.40,48.20,56.25,0
962,934,504,391,231,506,294,1.8532,1.0300,0.52391,1.69264,1.72109,41.88,78.88,58.63,78.20,32.80,36.75,0
789,747,864,214,340,67,733,0.8646,1.0562,1.09506,0.62941,0.09141,60.63,52.63,54.00,42.80,68.00,91.63,0
604,738,1058,400,325,303,497,0.6975,0.8184,1.75166,1.23077,0.60966,70.50,38.25,62.75,80.00,65.00,62.13,0
1297,705,398,267,280,565,235,1.7714,1.8397,0.30686,0.95357,2.40426,42.13,92.38,30.25,53.40,56.00,29.38,0
1269,324,807,402,261,521,279,0.4015,3.9167,0.63593,1.54023,1.86738,65.75,64.88,6.25,80.40,52.20,34.88,0
1295,859,246,177,241,626,174,3.4919,1.5076,0.18996,0.73444,3.59770,22.75,92.00,30.13,35.40,48.20,21.75,0
1216,521,663,185,233,512,288,0.7858,2.3340,0.54523,0.79399,1.77778,57.25,74.38,22.38,37.00,46.60,36.00,0
1002,534,864,264,210,346,454,0.6181,1.8764,0.86228,1.25714,0.76211,58.88,50.88,25.63,52.80,42.00,56.75,0
1122,232,1046,291,283,590,210,0.2218,4.8362,0.93226,1.02827,2.80952,84.38,53.63,13.38,58.20,56.60,26.25,0
1189,551,660,218,276,232,568,0.8348,2.1579,0.55509,0.78986,0.40845,46.38,63.88,15.25,43.60,55.20,71.00,0
1096,736,568,217,303,628,172,1.2958,1.4891,0.51825,0.71617,3.65116,40.25,69.25,32.25,43.40,60.60,21.50,0
876,882,642,266,410,362,438,1.3738,0.9932,0.73288,0.64878,0.82648,32.13,51.88,42.38,53.20,82.00,54.75,0
1278,884,238,184,282,730,70,3.7143,1.4457,0.18623,0.65248,10.42857,13.25,83.50,23.75,36.80,56.40,8.75,0
